STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,ADJUSTMENT,Adjustment,REF_AREA,Reference area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,TRANSACTION,Transaction,INSTR_ASSET,Financial instruments and non-financial assets,ACTIVITY,Economic activity,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_PRICE,Price reference year,BASE_PER,Base period,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,GBR,United Kingdom,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2010-Q3,,48644.4,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,GBR,United Kingdom,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2022-Q3,,54756.3,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2024-Q1,,44950.6,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,GBR,United Kingdom,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2019-Q2,,54132,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2012-Q1,,56577.9,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2011-Q4,,56493.1,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2011-Q3,,56528,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2011-Q2,,56246.4,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2020-Q1,,60788.6,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2021-Q4,,62381.5,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2021-Q3,,62023.7,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,GBR,United Kingdom,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2015-Q3,,51271.8,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2019-Q2,,61986.8,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2019-Q1,,61959.4,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2018-Q4,,61569.8,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2018-Q3,,61305.5,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2018-Q2,,61725.3,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2018-Q1,,61270,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2017-Q4,,61640.4,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2017-Q3,,61041.9,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2017-Q2,,60576.9,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2017-Q1,,60169.7,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2016-Q4,,59417.5,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2016-Q3,,59178.9,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2016-Q2,,59025.9,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2021-Q2,,61952.7,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2021-Q1,,60511.5,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2020-Q4,,60865.7,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,GBR,United Kingdom,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2011-Q2,,48422,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2011-Q4,,40848.9,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2011-Q3,,40857.8,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2011-Q2,,39882.9,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2011-Q1,,40259.5,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2010-Q4,,40597.8,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2010-Q3,,40915.7,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2010-Q2,,40380.7,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2010-Q1,,39898.5,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2024-Q4,,45834.3,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2016-Q4,,43308.7,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2020-Q3,,60240.8,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,DEU,Germany,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2020-Q2,,55408.3,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2015-Q1,,42819.7,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2014-Q4,,42168.8,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2017-Q3,,44242.1,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),Quarterly GDP per capita,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ_POP,"Gross domestic product, per capita",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP_PS,"US dollars per person, PPP converted",LR,Chain linked volume (rebased),LA,Annual levels,T0102,Table 0102 - GDP identity from the expenditure side,2017-Q2,,43827.8,,2020,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,USD,US dollar
